********LEGEND FOR FIELD NAMES LOCATED AT BOTTOM OF FILE************
Station_Code,isSWMP,m/d/y hh:mm,See Legend,See Legend,See Legend,C,Flag Code See Legend,mS/cm,Flag Code See Legend,psu,Flag Code See Legend,%,Flag Code See Legend,mg/L,Flag Code See Legend,m,Flag Code See Legend,m,Flag Code See Legend,Units,Flag Code See Legend,FNU/NTU,Flag Code See Legend
noczbwq,P,03/28/2022 20:15,1,1,,16.9,<0> ,30.79,<0> ,19.2,<0> ,106.4,<0> ,9.2,<0> ,0.74,<0> ,0.70,<3> [GCC],8.3,<0> ,9,<0> ,
noczbwq,P,03/28/2022 20:30,1,1,,16.7,<0> ,30.57,<0> ,19.0,<0> ,108.6,<0> ,9.4,<0> ,0.69,<0> ,0.64,<3> [GCC],8.3,<0> ,9,<0> ,
noczbwq,P,03/28/2022 20:45,1,1,,16.5,<0> ,30.59,<0> ,19.0,<0> ,102.8,<0> ,9.0,<0> ,0.64,<0> ,0.59,<3> [GCC],8.2,<0> ,8,<0> ,
noczbwq,P,03/28/2022 21:00,1,1,,16.4,<0> ,30.97,<0> ,19.3,<0> ,99.1,<0> ,8.6,<0> ,0.59,<0> ,0.54,<3> [GCC],8.2,<0> ,9,<0> ,
noczbwq,P,03/28/2022 21:15,1,1,,16.2,<0> ,30.82,<0> ,19.2,<0> ,91.3,<0> ,8.0,<0> ,0.55,<0> ,0.50,<3> [GCC],8.1,<0> ,8,<0> ,
noczbwq,P,03/28/2022 21:30,1,1,,16.0,<0> ,30.61,<0> ,19.1,<0> ,87.1,<0> ,7.7,<0> ,0.51,<0> ,0.46,<3> [GCC],8.1,<0> ,8,<0> ,
noczbwq,P,03/28/2022 21:45,1,1,,16.7,<0> ,30.69,<0> ,19.1,<0> ,91.7,<0> ,8.0,<0> ,0.47,<0> ,0.41,<3> [GCC],8.2,<0> ,13,<0> ,
noczbwq,P,03/28/2022 22:00,1,1,,16.9,<0> ,30.50,<0> ,19.0,<0> ,97.8,<0> ,8.5,<0> ,0.43,<0> ,0.37,<3> [GCC],8.3,<0> ,14,<0> ,
noczbwq,P,03/28/2022 22:15,1,1,,16.9,<0> ,30.35,<0> ,18.9,<0> ,97.1,<0> ,8.4,<0> ,0.40,<0> ,0.34,<3> [GCC],8.3,<0> ,17,<0> ,
noczbwq,P,03/28/2022 22:30,1,1,,16.5,<0> ,29.79,<0> ,18.5,<0> ,93.6,<0> ,8.2,<0> ,0.36,<0> ,0.29,<3> [GCC],8.3,<0> ,21,<0> ,
noczbwq,P,03/28/2022 22:45,1,1,,16.4,<0> ,29.60,<0> ,18.4,<0> ,86.8,<0> ,7.6,<0> ,0.33,<0> ,0.26,<3> [GCC],8.3,<0> ,20,<0> ,
noczbwq,P,03/28/2022 23:00,1,1,,16.1,<0> ,29.34,<0> ,18.2,<0> ,83.8,<0> ,7.4,<0> ,0.30,<0> ,0.23,<3> [GCC],8.3,<0> ,20,<0> ,
noczbwq,P,03/28/2022 23:15,1,1,,15.7,<0> ,29.04,<0> ,18.0,<0> ,76.8,<0> ,6.8,<0> ,0.27,<0> ,0.20,<3> [GCC],8.2,<0> ,16,<0> ,
noczbwq,P,03/28/2022 23:30,1,1,,15.6,<0> ,29.10,<0> ,18.0,<0> ,80.0,<0> ,7.1,<0> ,0.24,<0> ,0.17,<3> [GCC],8.2,<0> ,19,<0> ,
noczbwq,P,03/28/2022 23:45,1,1,,15.2,<0> ,29.14,<0> ,18.1,<0> ,82.2,<0> ,7.4,<0> ,0.21,<0> ,0.13,<3> [GCC],8.3,<0> ,18,<0> ,
noczbwq,P,03/29/2022 00:00,1,1,,15.0,<0> ,29.13,<0> ,18.0,<0> ,81.0,<0> ,7.3,<0> ,0.18,<0> ,0.10,<3> [GCC],8.3,<0> ,21,<0> ,
noczbwq,P,03/29/2022 00:15,1,1,,14.6,<0> ,29.01,<0> ,18.0,<0> ,78.5,<0> ,7.2,<0> ,0.16,<0> ,0.08,<3> [GCC],8.2,<0> ,17,<0> ,
noczbwq,P,03/29/2022 00:30,1,1,,14.3,<0> ,28.94,<0> ,17.9,<0> ,77.6,<0> ,7.1,<0> ,0.14,<0> ,0.06,<3> [GCC],8.2,<0> ,18,<0> ,
noczbwq,P,03/29/2022 00:45,1,1,,14.0,<0> ,28.87,<0> ,17.9,<0> ,77.0,<0> ,7.1,<0> ,0.12,<0> ,0.04,<3> [GCC],8.2,<0> ,17,<0> ,
noczbwq,P,03/29/2022 01:00,1,1,,13.5,<0> ,28.94,<0> ,17.9,<0> ,75.2,<0> ,7.0,<0> ,0.11,<0> ,0.03,<3> [GCC],8.1,<0> ,15,<0> ,
noczbwq,P,03/29/2022 01:15,1,1,,13.2,<0> ,28.97,<0> ,17.9,<0> ,74.8,<0> ,7.0,<0> ,0.08,<0> ,0.00,<3> [GCC],8.2,<0> ,16,<0> ,
noczbwq,P,03/29/2022 01:30,1,1,,12.8,<0> ,29.12,<0> ,18.0,<0> ,76.3,<0> ,7.2,<0> ,0.06,<0> ,-0.02,<3> [GCC],8.2,<0> ,18,<0> ,
noczbwq,P,03/29/2022 01:45,1,1,,12.4,<0> ,29.10,<0> ,18.0,<0> ,74.4,<0> ,7.1,<0> ,0.06,<0> ,-0.03,<3> [GCC],8.1,<0> ,18,<0> ,
noczbwq,P,03/29/2022 02:00,1,1,,11.7,<0> ,29.02,<0> ,17.9,<0> ,76.2,<0> ,7.4,<0> ,0.06,<0> ,-0.03,<3> [GCC],8.2,<0> ,18,<0> ,
noczbwq,P,03/29/2022 02:15,1,1,,11.2,<0> ,29.07,<0> ,18.0,<0> ,76.0,<0> ,7.4,<0> ,0.06,<0> ,-0.03,<3> [GCC],8.1,<0> ,19,<0> ,
noczbwq,P,03/29/2022 02:30,1,1,,10.8,<0> ,29.16,<0> ,18.0,<0> ,76.2,<0> ,7.5,<0> ,0.06,<0> ,-0.03,<3> [GCC],8.1,<0> ,21,<0> ,
noczbwq,P,03/29/2022 02:45,1,1,,9.7,<0> ,30.06,<0> ,18.6,<0> ,71.8,<0> ,7.2,<0> ,0.06,<0> ,-0.03,<3> [GCC],7.8,<0> ,27,<0> ,
noczbwq,P,03/29/2022 03:00,1,1,,10.2,<0> ,29.37,<0> ,18.1,<0> ,76.6,<0> ,7.7,<0> ,0.06,<0> ,-0.03,<3> [GCC],8.1,<0> ,22,<0> ,
noczbwq,P,03/29/2022 03:15,1,1,,10.5,<0> ,29.17,<0> ,18.0,<0> ,78.6,<0> ,7.8,<0> ,0.09,<0> ,0.00,<3> [GCC],8.1,<0> ,20,<0> ,
noczbwq,P,03/29/2022 03:30,1,1,,9.3,<0> ,29.71,<0> ,18.3,<0> ,80.9,<0> ,8.2,<0> ,0.14,<0> ,0.04,<3> [GCC],7.7,<0> ,18,<0> ,
noczbwq,P,03/29/2022 03:45,1,1,,8.9,<0> ,28.54,<0> ,17.5,<0> ,85.1,<0> ,8.8,<0> ,0.21,<0> ,0.11,<3> [GCC],7.8,<0> ,17,<0> ,
noczbwq,P,03/29/2022 04:00,1,1,,11.0,<0> ,29.07,<0> ,17.9,<0> ,81.0,<0> ,8.0,<0> ,0.31,<0> ,0.21,<3> [GCC],8.0,<0> ,17,<0> ,
noczbwq,P,03/29/2022 04:15,1,1,,11.5,<0> ,28.93,<0> ,17.9,<0> ,82.2,<0> ,8.0,<0> ,0.43,<0> ,0.33,<3> [GCC],8.0,<0> ,16,<0> ,
noczbwq,P,03/29/2022 04:30,1,1,,11.7,<0> ,29.38,<0> ,18.2,<0> ,85.0,<0> ,8.2,<0> ,0.59,<0> ,0.48,<3> [GCC],8.2,<0> ,19,<0> ,
noczbwq,P,03/29/2022 04:45,1,1,,12.1,<0> ,28.49,<0> ,17.6,<0> ,88.8,<0> ,8.6,<0> ,0.77,<0> ,0.66,<3> [GCC],8.2,<0> ,30,<0> ,
noczbwq,P,03/29/2022 05:00,1,1,,12.0,<0> ,28.33,<0> ,17.5,<0> ,89.2,<0> ,8.6,<0> ,0.94,<0> ,0.83,<3> [GCC],8.2,<0> ,26,<0> ,
noczbwq,P,03/29/2022 05:15,1,1,,11.9,<0> ,28.12,<0> ,17.3,<0> ,89.3,<0> ,8.7,<0> ,1.08,<0> ,0.96,<3> [GCC],8.1,<0> ,24,<0> ,
noczbwq,P,03/29/2022 05:30,1,1,,11.7,<0> ,27.96,<0> ,17.2,<0> ,88.7,<0> ,8.6,<0> ,1.18,<0> ,1.07,<3> [GCC],8.1,<0> ,20,<0> ,
noczbwq,P,03/29/2022 05:45,1,1,,11.7,<0> ,27.84,<0> ,17.1,<0> ,88.1,<0> ,8.6,<0> ,1.25,<0> ,1.13,<3> [GCC],8.1,<0> ,21,<0> ,
noczbwq,P,03/29/2022 06:00,1,1,,11.4,<0> ,28.18,<0> ,17.4,<0> ,84.7,<0> ,8.3,<0> ,1.28,<0> ,1.16,<3> [GCC],8.1,<0> ,14,<0> ,
noczbwq,P,03/29/2022 06:15,1,1,,11.5,<0> ,28.05,<0> ,17.3,<0> ,86.5,<0> ,8.5,<0> ,1.30,<0> ,1.18,<3> [GCC],8.1,<0> ,19,<0> ,
noczbwq,P,03/29/2022 06:30,1,1,,11.7,<0> ,27.06,<0> ,16.6,<0> ,87.8,<0> ,8.6,<0> ,1.31,<0> ,1.18,<3> [GCC],8.0,<0> ,20,<0> ,
noczbwq,P,03/29/2022 06:45,1,1,,11.8,<0> ,27.42,<0> ,16.9,<0> ,84.7,<0> ,8.3,<0> ,1.30,<0> ,1.17,<3> [GCC],8.0,<0> ,26,<0> ,
noczbwq,P,03/29/2022 07:00,1,1,,11.8,<0> ,27.32,<0> ,16.8,<0> ,83.6,<0> ,8.2,<0> ,1.29,<0> ,1.16,<3> [GCC],8.0,<0> ,18,<0> ,
noczbwq,P,03/29/2022 07:15,1,1,,11.8,<0> ,27.79,<0> ,17.1,<0> ,76.9,<0> ,7.5,<0> ,1.24,<0> ,1.11,<3> [GCC],7.9,<0> ,13,<0> ,
noczbwq,P,03/29/2022 07:30,1,1,,11.8,<0> ,27.70,<0> ,17.0,<0> ,74.7,<0> ,7.3,<0> ,1.19,<0> ,1.06,<3> [GCC],7.9,<0> ,14,<0> ,
noczbwq,P,03/29/2022 07:45,1,1,,11.3,<0> ,27.67,<0> ,17.0,<0> ,78.9,<0> ,7.8,<0> ,1.12,<0> ,0.99,<3> [GCC],7.9,<0> ,10,<0> ,
noczbwq,P,03/29/2022 08:00,1,1,,11.1,<0> ,28.08,<0> ,17.3,<0> ,79.3,<0> ,7.8,<0> ,1.06,<0> ,0.92,<3> [GCC],7.9,<0> ,7,<0> ,
noczbwq,P,03/29/2022 08:15,1,1,,11.0,<0> ,27.99,<0> ,17.2,<0> ,82.0,<0> ,8.1,<0> ,1.00,<0> ,0.86,<3> [GCC],7.8,<0> ,9,<0> ,
noczbwq,P,03/29/2022 08:30,1,1,,11.2,<0> ,27.85,<0> ,17.1,<0> ,81.7,<0> ,8.0,<0> ,0.95,<0> ,0.81,<3> [GCC],7.8,<0> ,7,<0> ,
noczbwq,P,03/29/2022 08:45,1,1,,11.3,<0> ,28.29,<0> ,17.4,<0> ,82.1,<0> ,8.1,<0> ,0.89,<0> ,0.75,<3> [GCC],7.8,<0> ,7,<0> ,
noczbwq,P,03/29/2022 09:00,1,1,,13.3,<0> ,30.79,<0> ,19.2,<0> ,88.1,<0> ,8.2,<0> ,0.84,<0> ,0.70,<3> [GCC],7.9,<0> ,9,<0> ,
noczbwq,P,03/29/2022 09:15,1,1,,14.4,<0> ,32.32,<0> ,20.2,<0> ,91.7,<0> ,8.3,<0> ,0.78,<0> ,0.64,<3> [GCC],7.9,<0> ,8,<0> ,
noczbwq,P,03/29/2022 09:30,1,1,,14.8,<0> ,32.96,<0> ,20.7,<0> ,94.4,<0> ,8.4,<0> ,0.74,<0> ,0.60,<3> [GCC],7.9,<0> ,9,<0> ,
noczbwq,P,03/29/2022 09:45,1,1,,14.9,<0> ,33.21,<0> ,20.8,<0> ,97.3,<0> ,8.7,<0> ,0.68,<0> ,0.54,<3> [GCC],7.9,<0> ,8,<0> ,
noczbwq,P,03/29/2022 10:00,1,1,,14.9,<0> ,33.33,<0> ,20.9,<0> ,102.3,<0> ,9.1,<0> ,0.64,<0> ,0.50,<3> [GCC],8.0,<0> ,8,<0> ,
noczbwq,P,03/29/2022 10:15,1,1,,15.2,<0> ,33.73,<0> ,21.2,<0> ,105.8,<0> ,9.3,<0> ,0.60,<0> ,0.46,<3> [GCC],8.0,<0> ,8,<0> ,
noczbwq,P,03/29/2022 10:30,1,1,,15.3,<0> ,34.09,<0> ,21.5,<0> ,112.5,<0> ,9.9,<0> ,0.55,<0> ,0.41,<3> [GCC],8.0,<0> ,10,<0> ,
noczbwq,P,03/29/2022 10:45,1,1,,15.4,<0> ,33.73,<0> ,21.2,<0> ,115.5,<0> ,10.2,<0> ,0.52,<0> ,0.38,<3> [GCC],8.0,<0> ,13,<0> ,
noczbwq,P,03/29/2022 11:00,1,1,,15.3,<0> ,33.16,<0> ,20.8,<0> ,117.4,<0> ,10.4,<0> ,0.48,<0> ,0.34,<3> [GCC],8.1,<0> ,46,<0> ,
noczbwq,P,03/29/2022 11:15,1,1,,15.2,<0> ,31.09,<0> ,19.4,<0> ,117.7,<0> ,10.5,<0> ,0.44,<0> ,0.30,<3> [GCC],8.1,<0> ,11,<0> ,
noczbwq,P,03/29/2022 11:30,1,1,,14.5,<0> ,29.65,<0> ,18.4,<0> ,116.0,<0> ,10.6,<0> ,0.41,<0> ,0.27,<3> [GCC],8.1,<0> ,11,<0> ,
noczbwq,P,03/29/2022 11:45,1,1,,14.4,<0> ,29.52,<0> ,18.3,<0> ,130.6,<0> ,11.9,<0> ,0.38,<0> ,0.24,<3> [GCC],8.2,<0> ,12,<0> ,
noczbwq,P,03/29/2022 12:00,1,1,,14.5,<0> ,29.08,<0> ,18.0,<0> ,134.9,<0> ,12.3,<0> ,0.35,<0> ,0.21,<3> [GCC],8.2,<0> ,13,<0> ,
noczbwq,P,03/29/2022 12:15,1,1,,15.0,<0> ,28.72,<0> ,17.8,<0> ,132.4,<0> ,12.0,<0> ,0.32,<0> ,0.18,<3> [GCC],8.2,<0> ,17,<0> ,
noczbwq,P,03/29/2022 12:30,1,1,,15.3,<0> ,28.48,<0> ,17.6,<0> ,140.9,<0> ,12.7,<0> ,0.30,<0> ,0.16,<3> [GCC],8.2,<0> ,36,<0> ,
noczbwq,P,03/29/2022 12:45,1,1,,15.9,<0> ,28.31,<0> ,17.5,<0> ,151.0,<0> ,13.4,<0> ,0.27,<0> ,0.13,<3> [GCC],8.2,<0> ,19,<0> ,
noczbwq,P,03/29/2022 13:00,1,1,,16.6,<0> ,28.19,<0> ,17.4,<0> ,153.8,<0> ,13.5,<0> ,0.25,<0> ,0.12,<3> [GCC],8.2,<0> ,19,<0> ,
noczbwq,P,03/29/2022 13:15,1,1,,17.7,<0> ,28.96,<0> ,17.9,<0> ,159.9,<0> ,13.7,<0> ,0.23,<0> ,0.10,<3> [GCC],8.2,<0> ,30,<0> ,
noczbwq,P,03/29/2022 13:30,1,1,,18.6,<0> ,29.13,<0> ,18.1,<0> ,180.2,<0> ,15.1,<0> ,0.20,<0> ,0.07,<3> [GCC],8.3,<0> ,35,<0> ,
noczbwq,P,03/29/2022 13:45,1,1,,19.4,<0> ,29.27,<0> ,18.1,<0> ,204.9,<0> ,16.9,<0> ,0.18,<0> ,0.05,<3> [GCC],8.4,<0> ,35,<0> ,
noczbwq,P,03/29/2022 14:00,1,1,,19.9,<0> ,29.36,<0> ,18.2,<0> ,227.2,<0> ,18.6,<0> ,0.16,<0> ,0.03,<3> [GCC],8.5,<0> ,45,<0> ,
noczbwq,P,03/29/2022 14:15,1,1,,20.6,<0> ,29.51,<0> ,18.3,<0> ,247.9,<0> ,20.0,<0> ,0.14,<0> ,0.02,<3> [GCC],8.6,<0> ,41,<0> ,
noczbwq,P,03/29/2022 14:30,1,1,,21.1,<0> ,29.79,<0> ,18.5,<0> ,273.8,<0> ,21.9,<0> ,0.13,<0> ,0.01,<3> [GCC],8.7,<0> ,42,<0> ,
noczbwq,P,03/29/2022 14:45,1,1,,21.3,<0> ,29.91,<0> ,18.6,<0> ,283.4,<0> ,22.5,<0> ,0.14,<0> ,0.02,<3> [GCC],8.7,<0> ,45,<0> ,
noczbwq,P,03/29/2022 15:00,1,1,,21.1,<0> ,29.89,<0> ,18.6,<0> ,286.4,<0> ,22.9,<0> ,0.17,<0> ,0.05,<3> [GCC],8.7,<0> ,37,<0> ,
noczbwq,P,03/29/2022 15:15,1,1,,19.7,<0> ,29.61,<0> ,18.4,<0> ,271.5,<0> ,22.3,<0> ,0.20,<0> ,0.08,<3> [GCC],8.6,<0> ,27,<0> ,
noczbwq,P,03/29/2022 15:30,1,1,,17.7,<0> ,29.42,<0> ,18.3,<0> ,241.1,<0> ,20.6,<0> ,0.24,<0> ,0.12,<3> [GCC],8.6,<0> ,13,<0> ,
noczbwq,P,03/29/2022 15:45,1,1,,16.6,<0> ,29.29,<0> ,18.2,<0> ,201.8,<0> ,17.6,<0> ,0.30,<0> ,0.18,<3> [GCC],8.6,<0> ,12,<0> ,
noczbwq,P,03/29/2022 16:00,1,1,,18.9,<0> ,29.21,<0> ,18.1,<0> ,239.5,<0> ,20.0,<0> ,0.37,<0> ,0.26,<3> [GCC],8.7,<0> ,12,<0> ,
noczbwq,P,03/29/2022 16:15,1,1,,17.2,<0> ,30.05,<0> ,18.7,<0> ,202.7,<0> ,17.5,<0> ,0.46,<0> ,0.35,<3> [GCC],8.5,<0> ,8,<0> ,
noczbwq,P,03/29/2022 16:30,1,1,,18.0,<0> ,31.02,<0> ,19.3,<0> ,206.2,<0> ,17.4,<0> ,0.57,<0> ,0.46,<3> [GCC],8.5,<0> ,8,<0> ,
noczbwq,P,03/29/2022 16:45,1,1,,18.4,<0> ,33.03,<0> ,20.7,<0> ,204.1,<0> ,16.9,<0> ,0.70,<0> ,0.59,<3> [GCC],8.5,<0> ,7,<0> ,
noczbwq,P,03/29/2022 17:00,1,1,,17.8,<0> ,31.40,<0> ,19.6,<0> ,189.7,<0> ,16.0,<0> ,0.84,<0> ,0.73,<3> [GCC],8.5,<0> ,6,<0> ,
noczbwq,P,03/29/2022 17:15,1,1,,17.9,<0> ,31.80,<0> ,19.9,<0> ,187.5,<0> ,15.8,<0> ,0.98,<0> ,0.87,<3> [GCC],8.4,<0> ,7,<0> ,
noczbwq,P,03/29/2022 17:30,1,1,,18.3,<0> ,32.08,<0> ,20.1,<0> ,202.4,<0> ,16.9,<0> ,1.09,<0> ,0.98,<3> [GCC],8.5,<0> ,7,<0> ,
noczbwq,P,03/29/2022 17:45,1,1,,18.0,<0> ,31.87,<0> ,19.9,<0> ,193.2,<0> ,16.2,<0> ,1.17,<0> ,1.06,<3> [GCC],8.4,<0> ,7,<0> ,
noczbwq,P,03/29/2022 18:00,1,1,,17.6,<0> ,31.46,<0> ,19.6,<0> ,184.1,<0> ,15.6,<0> ,1.22,<0> ,1.11,<3> [GCC],8.4,<0> ,8,<0> ,
noczbwq,P,03/29/2022 18:15,1,1,,17.2,<0> ,30.95,<0> ,19.3,<0> ,169.8,<0> ,14.6,<0> ,1.25,<0> ,1.14,<3> [GCC],8.4,<0> ,7,<0> ,
noczbwq,P,03/29/2022 18:30,1,1,,17.1,<0> ,30.89,<0> ,19.3,<0> ,165.4,<0> ,14.2,<0> ,1.26,<0> ,1.15,<3> [GCC],8.4,<0> ,7,<0> ,
noczbwq,P,03/29/2022 18:45,1,1,,17.1,<0> ,31.26,<0> ,19.5,<0> ,167.5,<0> ,14.4,<0> ,1.26,<0> ,1.15,<3> [GCC],8.4,<0> ,10,<0> ,
noczbwq,P,03/29/2022 19:00,1,1,,16.8,<0> ,30.80,<0> ,19.2,<0> ,160.6,<0> ,13.9,<0> ,1.26,<0> ,1.15,<3> [GCC],8.4,<0> ,8,<0> ,
noczbwq,P,03/29/2022 19:15,1,1,,16.8,<0> ,30.77,<0> ,19.2,<0> ,161.5,<0> ,14.0,<0> ,1.24,<0> ,1.13,<3> [GCC],8.4,<0> ,7,<0> ,
noczbwq,P,03/29/2022 19:30,1,1,,16.7,<0> ,30.54,<0> ,19.0,<0> ,158.6,<0> ,13.7,<0> ,1.21,<0> ,1.10,<3> [GCC],8.4,<0> ,8,<0> ,
noczbwq,P,03/29/2022 19:45,1,1,,16.3,<0> ,30.01,<0> ,18.7,<0> ,148.0,<0> ,13.0,<0> ,1.15,<0> ,1.03,<3> [GCC],8.3,<0> ,5,<0> ,
noczbwq,P,03/29/2022 20:00,1,1,,15.7,<0> ,29.08,<0> ,18.0,<0> ,136.3,<0> ,12.1,<0> ,1.10,<0> ,0.98,<3> [GCC],8.3,<0> ,4,<0> ,
noczbwq,P,03/29/2022 20:15,1,1,,15.6,<0> ,28.93,<0> ,17.9,<0> ,135.2,<0> ,12.1,<0> ,1.04,<0> ,0.92,<3> [GCC],8.3,<0> ,5,<0> ,
noczbwq,P,03/29/2022 20:30,1,1,,15.6,<0> ,29.06,<0> ,18.0,<0> ,134.4,<0> ,12.0,<0> ,0.98,<0> ,0.86,<3> [GCC],8.3,<0> ,5,<0> ,
noczbwq,P,03/29/2022 20:45,1,1,,15.5,<0> ,29.20,<0> ,18.1,<0> ,133.7,<0> ,11.9,<0> ,0.93,<0> ,0.81,<3> [GCC],8.3,<0> ,5,<0> ,
noczbwq,P,03/29/2022 21:00,1,1,,15.4,<0> ,29.30,<0> ,18.2,<0> ,131.3,<0> ,11.8,<0> ,0.87,<0> ,0.75,<3> [GCC],8.2,<0> ,5,<0> ,
noczbwq,P,03/29/2022 21:15,1,1,,15.3,<0> ,29.37,<0> ,18.2,<0> ,131.0,<0> ,11.8,<0> ,0.82,<0> ,0.70,<3> [GCC],8.2,<0> ,4,<0> ,
noczbwq,P,03/29/2022 21:30,1,1,,15.3,<0> ,29.43,<0> ,18.3,<0> ,130.9,<0> ,11.7,<0> ,0.77,<0> ,0.65,<3> [GCC],8.2,<0> ,4,<0> ,
noczbwq,P,03/29/2022 21:45,1,1,,15.2,<0> ,29.50,<0> ,18.3,<0> ,131.6,<0> ,11.8,<0> ,0.71,<0> ,0.59,<3> [GCC],8.3,<0> ,5,<0> ,
noczbwq,P,03/29/2022 22:00,1,1,,15.2,<0> ,29.54,<0> ,18.3,<0> ,136.4,<0> ,12.2,<0> ,0.67,<0> ,0.55,<3> [GCC],8.3,<0> ,6,<0> ,
noczbwq,P,03/29/2022 22:15,1,1,,15.0,<0> ,29.61,<0> ,18.4,<0> ,132.5,<0> ,11.9,<0> ,0.62,<0> ,0.50,<3> [GCC],8.3,<0> ,6,<0> ,
noczbwq,P,03/29/2022 22:30,1,1,,15.0,<0> ,29.70,<0> ,18.4,<0> ,134.2,<0> ,12.1,<0> ,0.57,<0> ,0.45,<3> [GCC],8.3,<0> ,6,<0> ,
noczbwq,P,03/29/2022 22:45,1,1,,15.0,<0> ,29.75,<0> ,18.5,<0> ,132.1,<0> ,11.9,<0> ,0.53,<0> ,0.41,<3> [GCC],8.3,<0> ,7,<0> ,
noczbwq,P,03/29/2022 23:00,1,1,,15.0,<0> ,29.84,<0> ,18.5,<0> ,131.7,<0> ,11.9,<0> ,0.49,<0> ,0.37,<3> [GCC],8.3,<0> ,7,<0> ,
noczbwq,P,03/29/2022 23:15,1,1,,14.8,<0> ,29.84,<0> ,18.5,<0> ,123.9,<0> ,11.2,<0> ,0.46,<0> ,0.34,<3> [GCC],8.3,<0> ,9,<0> ,
noczbwq,P,03/29/2022 23:30,1,1,,14.9,<0> ,29.98,<0> ,18.6,<0> ,124.0,<0> ,11.2,<0> ,0.43,<0> ,0.31,<3> [GCC],8.4,<0> ,10,<0> ,
noczbwq,P,03/29/2022 23:45,1,1,,14.9,<0> ,30.02,<0> ,18.7,<0> ,121.0,<0> ,10.9,<0> ,0.39,<0> ,0.27,<3> [GCC],8.4,<0> ,11,<0> ,
noczbwq,P,03/30/2022 00:00,1,1,,14.8,<0> ,30.05,<0> ,18.7,<0> ,116.9,<0> ,10.6,<0> ,0.36,<0> ,0.24,<3> [GCC],8.3,<0> ,13,<0> ,
noczbwq,P,03/30/2022 00:15,1,1,,14.6,<0> ,30.08,<0> ,18.7,<0> ,111.0,<0> ,10.1,<0> ,0.33,<0> ,0.21,<3> [GCC],8.3,<0> ,14,<0> ,
noczbwq,P,03/30/2022 00:30,1,1,,14.4,<0> ,30.10,<0> ,18.7,<0> ,105.6,<0> ,9.6,<0> ,0.30,<0> ,0.18,<3> [GCC],8.2,<0> ,14,<0> ,
noczbwq,P,03/30/2022 00:45,1,1,,14.3,<0> ,30.13,<0> ,18.7,<0> ,101.8,<0> ,9.3,<0> ,0.28,<0> ,0.16,<3> [GCC],8.2,<0> ,16,<0> ,
noczbwq,P,03/30/2022 01:00,1,1,,14.1,<0> ,30.16,<0> ,18.7,<0> ,96.1,<0> ,8.8,<0> ,0.25,<0> ,0.13,<3> [GCC],8.2,<0> ,15,<0> ,
noczbwq,P,03/30/2022 01:15,1,1,,14.0,<0> ,30.19,<0> ,18.8,<0> ,91.1,<0> ,8.4,<0> ,0.22,<0> ,0.11,<3> [GCC],8.2,<0> ,16,<0> ,
noczbwq,P,03/30/2022 01:30,1,1,,13.7,<0> ,30.29,<0> ,18.8,<0> ,82.8,<0> ,7.6,<0> ,0.20,<0> ,0.09,<3> [GCC],8.1,<0> ,17,<0> ,
noczbwq,P,03/30/2022 01:45,1,1,,13.5,<0> ,30.35,<0> ,18.9,<0> ,77.3,<0> ,7.2,<0> ,0.17,<0> ,0.06,<3> [GCC],8.0,<0> ,23,<0> ,
noczbwq,P,03/30/2022 02:00,1,1,,13.3,<0> ,30.39,<0> ,18.9,<0> ,70.7,<0> ,6.6,<0> ,0.15,<0> ,0.04,<3> [GCC],8.0,<0> ,22,<0> ,
noczbwq,P,03/30/2022 02:15,1,1,,13.1,<0> ,30.54,<0> ,19.0,<0> ,63.3,<0> ,5.9,<0> ,0.13,<0> ,0.02,<3> [GCC],7.8,<0> ,25,<0> ,
noczbwq,P,03/30/2022 02:30,1,1,,12.8,<0> ,30.67,<0> ,19.1,<0> ,56.9,<0> ,5.3,<0> ,0.11,<0> ,0.01,<3> [GCC],7.7,<0> ,29,<0> ,
noczbwq,P,03/30/2022 02:45,1,1,,12.5,<0> ,30.89,<0> ,19.2,<0> ,51.3,<0> ,4.8,<0> ,0.09,<0> ,-0.01,<3> [GCC],7.6,<0> ,31,<0> ,
noczbwq,P,03/30/2022 03:00,1,1,,12.3,<0> ,30.81,<0> ,19.2,<0> ,52.4,<0> ,5.0,<0> ,0.08,<0> ,-0.02,<3> [GCC],7.6,<0> ,39,<0> ,
noczbwq,P,03/30/2022 03:15,1,1,,12.2,<0> ,30.82,<0> ,19.2,<0> ,52.6,<0> ,5.0,<0> ,0.10,<0> ,0.00,<3> [GCC],7.6,<0> ,36,<0> ,
noczbwq,P,03/30/2022 03:30,1,1,,12.3,<0> ,30.79,<0> ,19.1,<0> ,52.3,<0> ,5.0,<0> ,0.12,<0> ,0.02,<3> [GCC],7.6,<0> ,41,<0> ,
noczbwq,P,03/30/2022 03:45,1,1,,12.8,<0> ,29.98,<0> ,18.6,<0> ,76.7,<0> ,7.2,<0> ,0.16,<0> ,0.06,<3> [GCC],8.1,<0> ,22,<0> ,
noczbwq,P,03/30/2022 04:00,1,1,,13.5,<0> ,30.21,<0> ,18.8,<0> ,96.4,<0> ,8.9,<0> ,0.21,<0> ,0.11,<3> [GCC],8.2,<0> ,17,<0> ,
